web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560013762-407","http://www.blackandwhitemovies.org/movies-list","The Christmas Carol (1949)","http://www.blackandwhitemovies.org/the-christmas-carol-1949.html","http://www.archive.org/download/TheChristmasCarolastoldbyVincentPrice/TheChristmasCarolastoldbyVincentPrice_512kb.mp4"
"1560013795-410","http://www.blackandwhitemovies.org/movies-list","The Phantom Fiend (The Lodger) (1932)","http://www.blackandwhitemovies.org/the-phantom-fiend-the-lodger-1932.html","http://www.archive.org/download/ThePhantomFiend/PhantomFiend_512kb.mp4"
"1560014356-464","http://www.blackandwhitemovies.org/movies-list","Downhill (1927)","http://www.blackandwhitemovies.org/downhill-1927.html","http://www.archive.org/download/Downhill_1927/Downhill_1927_512kb.mp4"
"1560013681-398","http://www.blackandwhitemovies.org/movies-list","The Electric House (1922)","http://www.blackandwhitemovies.org/the-electric-house-1922.html","http://www.archive.org/download/TheElectricHouse/The_Electric_House_512kb.mp4"
"1560014169-447","http://www.blackandwhitemovies.org/movies-list","In The Wake of the Bounty (1933)","http://www.blackandwhitemovies.org/in-the-wake-of-the-bounty-1933.html","http://www.archive.org/download/InTheWakeOfTheBounty/InTheWakeOfTheBounty_512kb.mp4"
"1560013424-374","http://www.blackandwhitemovies.org/movies-list","The Birth of a Nation (1915)","http://www.blackandwhitemovies.org/the-birth-of-a-nation-1915.html","http://www.archive.org/download/dw_griffith_birth_of_a_nation/birth_of_a_nation_512kb.mp4"
"1560013578-388","http://www.blackandwhitemovies.org/movies-list","The Navigator (1924)","http://www.blackandwhitemovies.org/the-navigator-1924.html","http://www.dailymotion.com/cdn/H264-320x240/video/xg3f0q.mp4?auth=1328973117-ebd9c56f7aa5b8740a25bafa5022fc08"
"1560013523-383","http://www.blackandwhitemovies.org/movies-list","The Private Life of Henry VIII (1933)","http://www.blackandwhitemovies.org/the-private-life-of-henry-viii-1933.html","http://www.archive.org/download/ThePrivateLifeofHenryVIII./ThePrivateLifeofHenryVIII._512kb.mp4"
"1560013141-349","http://www.blackandwhitemovies.org/movies-list","Under The Red Robe (1937)","http://www.blackandwhitemovies.org/under-the-red-robe-1937.html","http://www.archive.org/download/UndertheRedRobeVSjostrom1937RMassey/UndertheRedRobeVSjostrom1937RMassey_512kb.mp4"
"1560013501-381","http://www.blackandwhitemovies.org/movies-list","The Lady Vanishes (1938)","http://www.blackandwhitemovies.org/the-lady-vanishes-1938.html","http://www.archive.org/download/lady_vanishes/The_Lady_Vanishes_512kb.mp4"
